Protein_ID	gene_name	meltPoint	fold_change	temperature
F4JKH6_TSS	TSS	49.7963993828729	0.999999999146373	25
F4JL28_EBS	EBS	NA	0.999999999146373	25
F4JLM5_At4g10320	At4g10320	42.9836404271079	0.999999999146373	25
F4JLP5_LPD2	LPD2	NA	0.999999999146373	25
F4JMJ1_HSP70-17	HSP70-17	48.5244544898966	0.999999999146373	25
F4JML5_At4g16800	At4g16800	50.3388118605259	0.999999999146373	25
F4JNU8_P4H8	P4H8	44.6411818961599	0.999999999146373	25
F4JPR7_PUX8	PUX8	49.7702921792672	0.999999999146373	25
F4JRE0_TMN12	TMN12	40.2954949281799	0.999999999146373	25
F4JSE7_EDR2	EDR2	38.9818356006179	0.999999999146373	25
F4JTE7_GPP1	GPP1	38.0254347044105	0.999999999146373	25
F4JVN6_TPP2	TPP2	53.6163899232395	0.999999999146373	25
F4JZC2_ENGASE1	ENGASE1	57.764336080402	0.999999999146373	25
F4K0E8_ISPG	ISPG	48.3027272588618	0.999999999146373	25
F4K2E9_CUV	CUV	58.9347885776309	0.999999999146373	25
F4K2F0_EML3	EML3	NA	0.999999999146373	25
F4K410_SVR3	SVR3	38.6883184873555	0.999999999146373	25
F4K487_PHOX3	PHOX3	43.585138664893	0.999999999146373	25
F4K4E3_LSM4	LSM4	NA	0.999999999146373	25
F4K5T4_At5g28040	At5g28040	45.891561132627	0.999999999146373	25
F4KAB8_MCM6	MCM6	43.1843734573771	0.999999999146373	25
F4KBF3_AAE17	AAE17	42.6725852554665	0.999999999146373	25
F4KE63_EMB2247	EMB2247	39.7164145702847	0.999999999146373	25
F4KEY9_NAA25	NAA25	43.7793843363147	0.999999999146373	25
F4KFC7_MED26C	MED26C	43.2273751621632	0.999999999146373	25
F4KGQ0_FBA4	FBA4	44.9195885504057	0.999999999146373	25
F4KHG6_CTPA1	CTPA1	45.632808336886	0.999999999146373	25
O03042_rbcL	rbcL	62.5157977357355	0.999999999146373	25
O03982_HIPP39	HIPP39	NA	0.999999999146373	25
O03986_HSP90-4	HSP90-4	41.2871144696816	0.999999999146373	25
O04019_RPT5B	RPT5B	44.9382328387917	0.999999999146373	25
O04023_SRC2	SRC2	48.3793346580904	0.999999999146373	25
O04130_PGDH2	PGDH2	44.7531762732651	0.999999999146373	25
O04147_At4g18930	At4g18930	46.0060972557145	0.999999999146373	25
O04151_CRT1	CRT1	48.3604894690455	0.999999999146373	25
O04153_CRT3	CRT3	43.6295015377622	0.999999999146373	25
O04202_TIF3F1	TIF3F1	40.7149109615618	0.999999999146373	25
O04209_CLC2	CLC2	NA	0.999999999146373	25
O04294_IMPA3	IMPA3	46.6947573998336	0.999999999146373	25
O04309_JAL35	JAL35	58.5640578996525	0.999999999146373	25
O04310_JAL34	JAL34	51.3300673536828	0.999999999146373	25
O04311_JAL33	JAL33	50.6829032089973	0.999999999146373	25
O04312_JAL32	JAL32	54.8583607804163	0.999999999146373	25
O04314_PBP1	PBP1	50.1531879084039	0.999999999146373	25
O04316_NSP4	NSP4	43.930731717183	0.999999999146373	25
O04326_NUP35	NUP35	41.7623256080875	0.999999999146373	25
O04350_TFCA	TFCA	NA	0.999999999146373	25
O04373_ILL4	ILL4	46.4321693308234	0.999999999146373	25
O04378_SYP23	SYP23	NA	0.999999999146373	25
O04379_AGO1	AGO1	50.3992956027784	0.999999999146373	25
O04420_At2g26230	At2g26230	43.2967229874347	0.999999999146373	25
O04421_SRP14	SRP14	47.6056577576865	0.999999999146373	25
O04450_CCT5	CCT5	41.2162245668342	0.999999999146373	25
O04482_UCH2	UCH2	42.4947091193291	0.999999999146373	25
O04487_At1g09640	At1g09640	44.5791746052059	0.999999999146373	25
O04492_DRB1	DRB1	43.7327607599103	0.999999999146373	25
O04496_AED3	AED3	52.8949531514926	0.999999999146373	25
O04499_PGM1	PGM1	52.0456617682332	0.999999999146373	25
O04539_SNL4	SNL4	47.9707069648224	0.999999999146373	25
O04567_At1g27190	At1g27190	44.2279480206765	0.999999999146373	25
O04603_RPL5	RPL5	39.8085337909833	0.999999999146373	25
O04619_ADNT1	ADNT1	41.5133598893353	0.999999999146373	25
O04630_THRRS	THRRS	44.2173544902695	0.999999999146373	25
O04658_NOP5-1	NOP5-1	45.3038779581982	0.999999999146373	25
O04663_EIF(ISO)4E	EIF(ISO)4E	46.3793780149933	0.999999999146373	25
O04846_ACA1	ACA1	54.9535198697026	0.999999999146373	25
O04904_PYR4	PYR4	44.0178949684098	0.999999999146373	25
O04905_UMK3	UMK3	NA	0.999999999146373	25
O04922_GPX2	GPX2	50.0630579830928	0.999999999146373	25
O04983_CAC2	CAC2	57.0935516511715	0.999999999146373	25
O22126_FLA8	FLA8	51.8178967702676	0.999999999146373	25
O22149_PME17	PME17	50.9541821453108	0.999999999146373	25
O22160_At2g44920	At2g44920	NA	0.999999999146373	25
O22173_PAB4	PAB4	41.9921136231944	0.999999999146373	25
O22193_PUB4	PUB4	48.5002370661081	0.999999999146373	25
O22203_CYP98A3	CYP98A3	39.8343150370021	0.999999999146373	25
O22224_NUP93A	NUP93A	31.9473741232071	0.999999999146373	25
O22229_NTRC	NTRC	52.9221842795398	0.999999999146373	25
O22263_PDIL2-1	PDIL2-1	53.4203166795746	0.999999999146373	25
O22265_CAO	CAO	40.3346475933946	0.999999999146373	25
O22287_CYT1	CYT1	42.7155252957836	0.999999999146373	25
O22446_HDA19	HDA19	44.5780417633205	0.999999999146373	25
O22467_MSI1	MSI1	48.7871785285986	0.999999999146373	25
O22468_MSI2	MSI2	55.145038636349	0.999999999146373	25
O22476_BRI1	BRI1	46.0059930604986	0.999999999146373	25
O22607_MSI4	MSI4	60.5474003129586	0.999999999146373	25
O22609_DEGP1	DEGP1	44.2806951821528	0.999999999146373	25
O22682_At3g03630	At3g03630	52.4822432720934	0.999999999146373	25
O22683_CYN	CYN	NA	0.999999999146373	25
O22715_AP1M2	AP1M2	41.1647397519744	0.999999999146373	25
O22718_ACLA-2	ACLA-2	43.3564509785691	0.999999999146373	25
O22765_TRPA1	TRPA1	42.9188070861083	0.999999999146373	25
O22769_At4g02580	At4g02580	48.5143245030468	0.999999999146373	25
O22773_At4g02530	At4g02530	NA	0.999999999146373	25
O22785_PRP19B	PRP19B	52.6222688018612	0.999999999146373	25
O22797_GLTP1	GLTP1	50.1958032199632	0.999999999146373	25
O22822_UGT74F2	UGT74F2	46.1574975216042	0.999999999146373	25
O22823_LSM6B	LSM6B	45.0778945682663	0.999999999146373	25
O22832_FAB2	FAB2	41.6511977801831	0.999999999146373	25
O22860_RPL38A	RPL38A	46.0077086374396	0.999999999146373	25
O22870_FKBP16-3	FKBP16-3	49.9836238366249	0.999999999146373	25
O22886_HEME2	HEME2	52.871609424951	0.999999999146373	25
O22898_LACS1	LACS1	42.1256200414105	0.999999999146373	25
O22899_At2g47250	At2g47250	39.9451420257952	0.999999999146373	25
O22922_U2B	U2B	43.2550954580841	0.999999999146373	25
O22941_PXM16	PXM16	48.1057186790487	0.999999999146373	25
O22969_At2g34160	At2g34160	48.3729561631787	0.999999999146373	25
O22993_FTSHI1	FTSHI1	NA	0.999999999146373	25
O23034_At1g05350	At1g05350	42.590156734083	0.999999999146373	25
O23044_PER3	PER3	40.2379266178172	0.999999999146373	25
O23049_RPL6	RPL6	37.0189227422232	0.999999999146373	25
O23087_ECA2	ECA2	38.38527355868	0.999999999146373	25
O23138_CYTC-1	CYTC-1	NA	0.999999999146373	25
O23140_AP2M	AP2M	40.4679941989769	0.999999999146373	25
O23144_PPI1	PPI1	43.528668465256	0.999999999146373	25
O23166_HCF164	HCF164	42.2802050118384	0.999999999146373	25
O23179_PLP1	PLP1	57.7193522998383	0.999999999146373	25
O23207_At4g36750	At4g36750	46.5004626211378	0.999999999146373	25
O23212_U2AF65A	U2AF65A	43.5228423715903	0.999999999146373	25
O23240_D2HGDH	D2HGDH	55.5597253362058	0.999999999146373	25
O23247_EMB1027	EMB1027	39.6862535516208	0.999999999146373	25
O23252_EIF4E1	EIF4E1	48.7263851057217	0.999999999146373	25
O23254_SHM4	SHM4	43.7711183529321	0.999999999146373	25
O23255_SAHH1	SAHH1	42.4238898949394	0.999999999146373	25
O23264_SBP1	SBP1	45.3342691180884	0.999999999146373	25
O23365_CYP97B3	CYP97B3	46.6470708730762	0.999999999146373	25
O23402_UGT84A4	UGT84A4	46.748018237381	0.999999999146373	25
O23403_PPD1	PPD1	36.7256429721477	0.999999999146373	25
O23404_PPDK	PPDK	42.4461665348141	0.999999999146373	25
O23406_UGT75D1	UGT75D1	40.7481179368889	0.999999999146373	25
O23461_ARA1	ARA1	41.0682578846106	0.999999999146373	25
O23487_BHLH3	BHLH3	45.9043853383814	0.999999999146373	25
O23523_RGGA	RGGA	NA	0.999999999146373	25
O23553_BAM3	BAM3	40.0993924029594	0.999999999146373	25
O23593_RGGB	RGGB	NA	0.999999999146373	25
O23614_CTPA2	CTPA2	48.5578349363275	0.999999999146373	25
O23617_TPS5	TPS5	38.0504553239072	0.999999999146373	25
O23627_At1g29880	At1g29880	47.9805327581654	0.999999999146373	25
O23647_SBE2.1	SBE2.1	44.2290236627779	0.999999999146373	25
O23654_VHA-A	VHA-A	50.8086735471859	0.999999999146373	25
O23657_RABC1	RABC1	45.7986477734437	0.999999999146373	25
O23680_TOC33	TOC33	38.0766051108438	0.999999999146373	25
O23710_PBB1	PBB1	67.0247617576737	0.999999999146373	25
O23712_PAF2	PAF2	NA	0.999999999146373	25
O23715_PAG1	PAG1	66.8327360812816	0.999999999146373	25
O23722_MVD1	MVD1	46.1832541471675	0.999999999146373	25
O24412_RPN8A	RPN8A	49.9442645620866	0.999999999146373	25
O24456_RACK1A	RACK1A	51.2144436155022	0.999999999146373	25
O24457_PDH-E1	PDH-E1	49.8575832182908	0.999999999146373	25
O24496_GLX2-2	GLX2-2	NA	0.999999999146373	25
O24520_AHB1	AHB1	48.1080779237912	0.999999999146373	25
O24521_AHB2	AHB2	50.5247781373172	0.999999999146373	25
O24616_PAD2	PAD2	66.7894714057676	0.999999999146373	25
O24633_PBD2	PBD2	47.384716872642	0.999999999146373	25
O24653_GDI2	GDI2	45.2361424338003	0.999999999146373	25
O48529_STR9	STR9	45.4842381721902	0.999999999146373	25
O48549_RPS6A	RPS6A	43.559291974935	0.999999999146373	25
